Category,Technology,Version,Company Size,Unlocked by,Unlocks,Unlocks Version,Description,Equipped Factor
ADVANCED_COMPUTING,AI,1,MEDIUM,"Machine Learning, Graphics Cards",Robotics, V2,"Lorem ipsum","{ CAPITAL: 3, CASH: 3, RESEARCH: 3, INFLUENCE: 3, EMISSIONS: 3, PUBLIC_OPINION: 3, PRODUCTIVITY: 3, ENVIRONMENTAL_IMPACT: 3 }"
ADVANCED_COMPUTING,Quantum Computing,2,LARGE,"AI","Quantum Networking", V2,"Lorem ipsum","{ CAPITAL: 4, CASH: 4, RESEARCH: 5, INFLUENCE: 4, EMISSIONS: -1, PUBLIC_OPINION: 2, PRODUCTIVITY: 5, ENVIRONMENTAL_IMPACT: -2 }"
BIOTECHNOLOGY,CRISPR,1,MEDIUM,"Genetic Engineering","Synthetic Biology", V2,"Lorem ipsum","{ CAPITAL: 2, CASH: 1, RESEARCH: 5, INFLUENCE: 3, EMISSIONS: 0, PUBLIC_OPINION: 2, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 1 }"
BIOTECHNOLOGY,Synthetic Biology,2,LARGE,"CRISPR","Bioengineering, V3,"Lorem ipsum","{ CAPITAL: 3, CASH: 2, RESEARCH: 4, INFLUENCE: 4, EMISSIONS: 0, PUBLIC_OPINION: 3, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 0 }"
ENERGY_TECHNOLOGIES,Solar Power,1,SMALL,"Energy Efficiency","Wind Power", V2,"Lorem ipsum","{ CAPITAL: 2, CASH: 1, RESEARCH: 3, INFLUENCE: 2, EMISSIONS: -3, PUBLIC_OPINION: 4, PRODUCTIVITY: 3, ENVIRONMENTAL_IMPACT: -4 }"
ENERGY_TECHNOLOGIES,Wind Power,2,MEDIUM,"Solar Power","Hydro Power", V2,"Lorem ipsum","{ CAPITAL: 3, CASH: 2, RESEARCH: 4, INFLUENCE: 3, EMISSIONS: -4, PUBLIC_OPINION: 5, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: -5 }"
FINANCIAL_TECHNOLOGIES,Blockchain,1,MEDIUM,"Cryptocurrency","Smart Contracts", V2,"Lorem ipsum","{ CAPITAL: 4, CASH: 3, RESEARCH: 3, INFLUENCE: 4, EMISSIONS: 0, PUBLIC_OPINION: 3, PRODUCTIVITY: 3, ENVIRONMENTAL_IMPACT: 0 }"
FINANCIAL_TECHNOLOGIES,Smart Contracts,2,LARGE,"Blockchain","Decentralized Finance", V3,"Lorem ipsum","{ CAPITAL: 5, CASH: 4, RESEARCH: 4, INFLUENCE: 5, EMISSIONS: 0, PUBLIC_OPINION: 4, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 0 }"
INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,5G,1,SMALL,"4G","6G", V2,"Lorem ipsum","{ CAPITAL: 2, CASH: 2, RESEARCH: 3, INFLUENCE: 2, EMISSIONS: 0, PUBLIC_OPINION: 3, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 0 }"
INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,6G,2,MEDIUM,"5G","Quantum Communication", V3,"Lorem ipsum","{ CAPITAL: 3, CASH: 3, RESEARCH: 4, INFLUENCE: 3, EMISSIONS: 0, PUBLIC_OPINION: 4, PRODUCTIVITY: 5, ENVIRONMENTAL_IMPACT: 0 }"
LOGISTICS_AND_MARKETING,Supply Chain AI,1,SMALL,"Logistics Automation","Inventory Management", V2,"Lorem ipsum","{ CAPITAL: 3, CASH: 2, RESEARCH: 3, INFLUENCE: 2, EMISSIONS: 1, PUBLIC_OPINION: 3, PRODUCTIVITY: 4, ENVIRONMENTAL_IMPACT: 1 }"
LOGISTICS_AND_MARKETING,Inventory Management,2,MEDIUM,"Supply Chain AI","Demand Forecasting", V3,"Lorem ipsum","{ CAPITAL: 4, CASH: 3, RESEARCH: 4, INFLUENCE: 3, EMISSIONS: 1, PUBLIC_OPINION: 4, PRODUCTIVITY: 5, ENVIRONMENTAL_IMPACT: 1 }"
